time_s,goal_steer_deg,curr_steer_deg
1746816471.348,446.680,447.420
1746816471.448,444.730,446.680
1746816471.548,383.230,444.730
1746816471.648,392.190,383.230
1746816471.748,302.830,392.190
1746816471.848,298.080,302.830
1746816471.948,358.690,298.080
1746816472.048,355.830,358.690
1746816472.148,351.240,355.830
1746816472.248,353.610,351.240
1746816472.348,405.880,353.610
1746816472.448,355.450,405.880
1746816472.548,308.150,355.450
1746816472.648,357.540,308.150
1746816472.748,418.530,357.540
1746816472.848,361.160,418.530
1746816472.948,292.920,361.160
1746816473.049,359.260,292.920
1746816473.148,364.960,359.260
1746816473.248,364.960,364.960
1746816473.349,362.870,364.960
1746816473.448,367.800,362.870
1746816473.548,380.420,367.800
1746816473.648,309.920,380.420
1746816473.748,366.280,309.920
1746816473.848,379.480,366.280
1746816473.948,383.980,379.480
1746816474.048,424.000,383.980
1746816474.148,390.700,424.000
1746816474.248,392.560,390.700
1746816474.348,384.540,392.560
1746816474.448,315.810,384.540
1746816474.548,364.960,315.810
1746816474.648,381.920,364.960
1746816474.748,380.370,381.920
1746816474.848,424.910,380.370
1746816474.948,382.110,424.910
1746816475.048,383.790,382.110
1746816475.147,382.110,383.790
1746816475.248,423.090,382.110
1746816475.347,312.080,423.090
1746816475.447,385.660,312.080
1746816475.548,385.660,385.660
1746816475.648,383.350,385.660
1746816475.748,381.730,383.350
1746816475.848,393.120,381.730
1746816475.948,388.510,393.120
1746816476.048,384.730,388.510
1746816476.148,396.640,384.730
1746816476.248,386.030,396.640
1746816476.348,395.720,386.030
1746816476.448,390.700,395.720
1746816476.548,388.830,390.700
1746816476.648,391.910,388.830
1746816476.748,388.090,391.910
1746816476.848,377.980,388.090
1746816476.948,366.850,377.980
1746816477.049,390.700,366.850
1746816477.148,390.700,390.700
1746816477.248,377.980,390.700
1746816477.349,384.170,377.980
1746816477.447,384.170,384.170
1746816477.548,312.080,384.170
1746816477.648,444.200,312.080
1746816477.748,104.950,444.200
1746816477.848,209.370,104.950
1746816477.947,410.480,209.370
1746816478.047,317.180,410.480
1746816478.148,332.950,317.180
1746816478.248,381.920,332.950
1746816478.347,386.560,381.920
1746816478.448,385.660,386.560
1746816478.548,391.630,385.660
1746816478.648,395.460,391.630
1746816478.748,397.940,395.460
1746816478.847,403.860,397.940
1746816478.948,400.530,403.860
1746816479.048,404.590,400.530
1746816479.148,406.250,404.590
1746816479.247,408.830,406.250
1746816479.348,406.990,408.830
1746816479.448,410.020,406.990
1746816479.548,405.880,410.020
1746816479.648,402.080,405.880
1746816479.747,407.240,402.080
1746816479.848,402.930,407.240
1746816479.948,399.110,402.930
1746816480.048,402.770,399.110
1746816480.148,399.150,402.770
1746816480.247,403.740,399.150
1746816480.348,403.530,403.740
1746816480.448,401.620,403.530
1746816480.548,403.490,401.620
1746816480.648,404.250,403.490
1746816480.748,400.620,404.250
1746816480.848,406.440,400.620
1746816480.948,407.960,406.440
1746816481.048,403.300,407.960
1746816481.148,408.090,403.300
1746816481.248,407.330,408.090
1746816481.348,405.520,407.330
1746816481.448,311.490,405.520
1746816481.548,309.920,311.490
1746816481.648,398.310,309.920
1746816481.748,394.050,398.310
1746816481.848,395.350,394.050
1746816481.948,393.300,395.350
1746816482.048,395.160,393.300
1746816482.148,390.560,395.160
1746816482.248,394.810,390.560
1746816482.348,392.370,394.810
1746816482.447,394.230,392.370
1746816482.548,395.000,394.230
1746816482.648,392.000,395.000
1746816482.748,394.300,392.000
1746816482.848,250.640,394.300
1746816482.948,262.020,250.640
1746816483.048,267.030,262.020
1746816483.148,263.240,267.030
1746816483.248,266.070,263.240
1746816483.348,267.680,266.070
1746816483.448,399.980,267.680
1746816483.548,407.720,399.980
1746816483.648,410.760,407.720
1746816483.748,416.340,410.760
1746816483.848,431.430,416.340
1746816483.948,434.140,431.430
1746816484.048,361.920,434.140
1746816484.148,338.360,361.920
1746816484.248,339.910,338.360
1746816484.348,343.180,339.910
1746816484.448,454.540,343.180
1746816484.548,337.980,454.540
1746816484.648,452.400,337.980
1746816484.748,323.040,452.400
1746816484.848,337.590,323.040
1746816484.948,340.290,337.590
1746816485.048,340.290,340.290
1746816485.148,355.450,340.290
1746816485.248,357.800,355.450
1746816485.348,360.590,357.800
1746816485.448,380.040,360.590
1746816485.547,383.040,380.040
1746816485.648,402.380,383.040
1746816485.748,405.150,402.380
1746816485.848,409.200,405.150
1746816485.948,416.340,409.200
1746816486.048,416.340,416.340
1746816486.148,322.260,416.340
1746816486.248,342.990,322.260
1746816486.348,346.830,342.990
1746816486.448,352.010,346.830
1746816486.548,348.750,352.010
1746816486.648,351.120,348.750
1746816486.748,353.920,351.120
1746816486.848,362.870,353.920
1746816486.948,365.150,362.870
1746816487.048,378.170,365.150
1746816487.148,361.350,378.170
1746816487.248,360.560,361.350
1746816487.348,397.200,360.560
1746816487.448,406.070,397.200
1746816487.548,406.070,406.070
1746816487.648,413.960,406.070
1746816487.748,322.450,413.960
1746816487.848,325.180,322.450
1746816487.948,428.900,325.180
1746816488.048,431.430,428.900
1746816488.148,433.660,431.430
1746816488.248,360.590,433.660
1746816488.348,436.120,360.590
1746816488.448,434.320,436.120
1746816488.548,373.270,434.320
1746816488.648,445.270,373.270
1746816488.748,443.060,445.270
1746816488.848,445.470,443.060
1746816488.948,442.700,445.470
1746816489.048,441.420,442.700
1746816489.148,442.920,441.420
1746816489.248,439.780,442.920
1746816489.348,440.610,439.780
1746816489.448,441.350,440.610
1746816489.548,404.230,441.350
1746816489.648,397.010,404.230
1746816489.748,430.890,397.010
1746816489.848,429.620,430.890
1746816489.948,423.630,429.620
1746816490.048,425.270,423.630
1746816490.148,422.270,425.270
1746816490.248,421.810,422.270
1746816490.348,484.190,421.810
1746816490.448,482.110,484.190
1746816490.548,480.020,482.110
1746816490.648,473.920,480.020
1746816490.747,469.580,473.920
1746816490.848,468.530,469.580
1746816490.948,466.380,468.530
1746816491.048,464.090,466.380
1746816491.148,462.850,464.090
1746816491.247,458.970,462.850
1746816491.348,455.320,458.970
1746816491.448,454.540,455.320
1746816491.548,452.940,454.540
1746816491.647,452.940,452.940
1746816491.747,449.560,452.940
1746816491.848,452.490,449.560
1746816491.948,446.590,452.490
1746816492.048,452.320,446.590
1746816492.148,447.880,452.320
1746816492.248,453.230,447.880
1746816492.348,430.340,453.230
1746816492.448,431.090,430.340
1746816492.548,429.780,431.090
1746816492.648,428.850,429.780
1746816492.748,430.730,428.850
1746816492.848,421.450,430.730
1746816492.947,430.160,421.450
1746816493.048,422.540,430.160
1746816493.148,430.340,422.540
1746816493.247,430.340,430.340
1746816493.348,428.850,430.340
1746816493.448,419.450,428.850
1746816493.548,422.720,419.450
1746816493.648,430.160,422.720
1746816493.748,428.670,430.160
