time_s,goal_steer_deg,curr_steer_deg
1746813537.416,-281.220,-281.220
1746813537.516,-281.220,-281.220
1746813537.616,-281.220,-281.220
1746813537.717,-296.250,-281.220
1746813537.816,-296.250,-296.250
1746813537.916,-296.250,-296.250
1746813538.016,-303.810,-296.250
1746813538.117,-303.810,-303.810
1746813538.216,-303.810,-303.810
1746813538.316,-311.350,-303.810
1746813538.416,-311.350,-311.350
1746813538.516,-311.350,-311.350
1746813538.623,-309.590,-311.350
1746813538.716,-310.510,-309.590
1746813538.816,-310.510,-310.510
1746813538.916,-310.510,-310.510
1746813539.016,-320.500,-310.510
1746813539.117,-320.500,-320.500
1746813539.216,-320.500,-320.500
1746813539.316,-313.220,-320.500
1746813539.416,-313.220,-313.220
1746813539.516,-313.220,-313.220
1746813539.616,-309.680,-313.220
1746813539.716,-307.400,-309.680
1746813539.817,-308.630,-307.400
1746813539.917,-307.260,-308.630
1746813540.016,-305.280,-307.260
1746813540.117,-305.280,-305.280
1746813540.217,-305.280,-305.280
1746813540.321,-302.980,-305.280
1746813540.417,-302.980,-302.980
1746813540.516,-302.980,-302.980
1746813540.617,-302.980,-302.980
1746813540.716,-305.700,-302.980
1746813540.817,-305.700,-305.700
1746813540.917,-305.700,-305.700
1746813541.016,-305.700,-305.700
1746813541.116,-302.980,-305.700
1746813541.216,-305.070,-302.980
1746813541.316,-305.070,-305.070
1746813541.417,-305.070,-305.070
1746813541.517,-308.840,-305.070
1746813541.616,-314.890,-308.840
1746813541.717,-314.890,-314.890
1746813541.816,-319.050,-314.890
1746813541.917,-327.540,-319.050
1746813542.016,-327.540,-327.540
1746813542.117,-327.540,-327.540
1746813542.217,-264.110,-327.540
1746813542.316,-274.400,-264.110
1746813542.416,-274.400,-274.400
1746813542.517,-354.560,-274.400
1746813542.616,-354.560,-354.560
1746813542.717,-354.560,-354.560
1746813542.816,-356.390,-354.560
1746813542.917,-217.700,-356.390
1746813543.016,-217.700,-217.700
1746813543.117,-217.700,-217.700
1746813543.217,-217.700,-217.700
1746813543.317,-239.430,-217.700
1746813543.416,-239.430,-239.430
1746813543.523,-239.430,-239.430
1746813543.616,-244.000,-239.430
1746813543.716,-252.460,-244.000
1746813543.823,-252.460,-252.460
1746813543.922,-252.460,-252.460
1746813544.016,-340.290,-252.460
1746813544.116,-351.720,-340.290
